 written on 13Jun2026 at 20:45:26 
   2.48202900000000       0.000000000000000E+000  0.000000000000000E+000
 -0.827343000000000        2.34007900000000       0.000000000000000E+000
 -0.827343000000000       -1.17004000000000        2.02656800000000     
           9
         229
    1    1    2    1    2    1    1    2    1    1    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    2    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    2    2    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    1    1    2    1    1    2
    1    2    1    1

   -4   -3   -1
    7    3    0.34259011E-03 -0.55613557E-12
    8    3    0.13122652E-02 -0.31771669E-11
    9    3   -0.34919438E-03  0.46080032E-11
    1    4    0.72213159E-04 -0.44653430E-11
    2    4   -0.20563771E-02 -0.22098087E-11
    3    4    0.24068440E-02  0.33024616E-11
    4    4   -0.64933643E-03  0.41587012E-11
    5    4    0.26355612E-03  0.36597201E-11
    6    4    0.40089148E-03 -0.53045763E-11
    7    4    0.17035481E-02  0.14913409E-11
    8    4    0.13463688E-02  0.45409015E-11
    9    4    0.10166617E-02 -0.19076411E-11
    1    5    0.10291176E-02 -0.30533683E-11
    2    5   -0.99922575E-03 -0.22726942E-11
    3    5    0.34143736E-03 -0.33964064E-12
    4    5   -0.26355612E-03 -0.57316287E-11
    5    5   -0.76280795E-03  0.31728092E-12
    6    5    0.39440241E-04 -0.30311604E-12
    7    5   -0.23452470E-04  0.13254697E-11
    8    5    0.53381921E-03 -0.14539350E-11
    9    5   -0.15094220E-02 -0.52000125E-12
    1    6    0.17440243E-03 -0.65903359E-12
    2    6   -0.98311864E-03  0.20075881E-11
    3    6   -0.14208731E-02 -0.82416608E-11
    4    6   -0.40089147E-03  0.70226989E-12
    5    6    0.39440241E-04  0.33722374E-12
    6    6    0.17181525E-03  0.47271215E-13
    7    6   -0.72057195E-04  0.14219445E-11
    8    6    0.14691425E-03 -0.15975871E-12
    9    6   -0.36080205E-04 -0.37313100E-12
    1    7   -0.11755433E-03 -0.33900383E-11
    2    7    0.69052516E-03  0.56918879E-11
    3    7   -0.34259011E-03  0.98678021E-11
    4    7   -0.17035481E-02  0.10917343E-11
    5    7   -0.23452471E-04 -0.77191335E-12
    6    7   -0.72057196E-04 -0.77363148E-12
    7    7    0.11754712E-03  0.71862655E-12
    8    7    0.15843478E-03  0.77385369E-12
    9    7    0.10724155E-03  0.11014024E-11
    1    8    0.56233358E-03 -0.11267207E-11
    2    8   -0.30404863E-04  0.10940940E-11
    3    8   -0.13122652E-02 -0.76069533E-12
    4    8   -0.13463689E-02 -0.41186273E-11
    5    8    0.53381921E-03 -0.20011900E-12
    6    8    0.14691425E-03 -0.64926016E-12
    7    8    0.15843478E-03  0.96005257E-12
    8    8    0.21909506E-03  0.31164307E-12
    9    8   -0.30762066E-03  0.11996363E-11
    1    9   -0.15770744E-02  0.19587647E-11
    2    9    0.71818006E-04 -0.13705912E-11
    3    9    0.34919439E-03 -0.17176182E-11
    4    9   -0.10166617E-02  0.74513585E-11
    5    9   -0.15094220E-02  0.35417491E-12
    6    9   -0.36080206E-04  0.73795747E-12
    7    9    0.10724154E-03 -0.21531535E-11
    8    9   -0.30762066E-03 -0.95981252E-12
    9    9    0.96751535E-03  0.12695643E-11

   -4   -2   -2
    1    1   -0.80379659E-03 -0.49950322E-12
    2    1   -0.70161178E-03  0.43023571E-11
    3    1   -0.11776513E-02  0.56618295E-11
    4    1   -0.36892915E-03  0.54048536E-11
    5    1   -0.18562195E-03  0.83910223E-12
    6    1    0.34958401E-03  0.10321605E-12
    7    1   -0.49803449E-03  0.26197430E-11
    8    1   -0.21103341E-03 -0.99456142E-12
    9    1    0.19646665E-03  0.34295219E-11
    1    2    0.70161178E-03 -0.32402622E-11
    2    2   -0.29771878E-02  0.87811702E-13
    3    2   -0.43324612E-02 -0.14487560E-11
    4    2   -0.21586898E-02 -0.28832076E-11
    5    2    0.13459107E-02  0.48340680E-11
    6    2   -0.77561623E-04 -0.44968933E-12
    7    2    0.17688947E-02  0.14007857E-11
    8    2   -0.61457423E-03 -0.22697744E-11
    9    2    0.19864061E-03  0.38837294E-11
    1    3    0.11776513E-02 -0.58211708E-11
    2    3   -0.43324612E-02  0.34094064E-11
    3    3   -0.79276202E-02  0.62278793E-11
    4    3   -0.25797142E-02 -0.18148951E-10
    5    3   -0.55978254E-03  0.18991388E-11
    6    3   -0.12367063E-02  0.31573268E-11
    7    3    0.79325195E-03 -0.54224365E-11
    8    3    0.19055845E-02 -0.17335283E-11
    9    3   -0.73380980E-03 -0.65760015E-11
    1    4    0.36892916E-03  0.19211039E-11
    2    4   -0.21586898E-02  0.43551586E-11
    3    4   -0.25797142E-02  0.65674350E-11
    4    4   -0.55941863E-03  0.45760618E-12
    5    4    0.10280020E-02 -0.14222044E-11
    6    4    0.19406639E-03  0.12090670E-12
    7    4    0.81785761E-03 -0.50455065E-11
    8    4   -0.17294869E-03 -0.15948007E-11
    9    4   -0.38580880E-03  0.26744193E-11
    1    5   -0.18562196E-03 -0.25099020E-12
    2    5   -0.13459107E-02  0.13658987E-11
    3    5    0.55978254E-03  0.16024257E-11
    4    5   -0.10280020E-02 -0.53325573E-12
    5    5   -0.38539426E-03 -0.40304912E-12
    6    5   -0.26984524E-03  0.10445741E-11
    7    5   -0.27368007E-03 -0.11844731E-11
    8    5    0.21047355E-03 -0.21698367E-11
    9    5   -0.42276292E-03  0.71594998E-12
    1    6    0.34958401E-03  0.70078231E-12
    2    6    0.77561614E-04  0.67808116E-11
    3    6    0.12367063E-02  0.26901944E-11
    4    6   -0.19406639E-03  0.12195480E-11
    5    6   -0.26984524E-03  0.99863520E-12
    6    6    0.98006430E-03 -0.96026312E-12
    7    6    0.52595306E-04 -0.12313601E-11
    8    6    0.89013320E-03  0.30330621E-12
    9    6    0.49186337E-03  0.15294905E-12
    1    7   -0.49803450E-03  0.17106403E-11
    2    7   -0.17688947E-02 -0.22437330E-11
    3    7   -0.79325195E-03 -0.24437048E-11
    4    7   -0.81785760E-03  0.32532232E-11
    5    7   -0.27368007E-03 -0.88168101E-12
    6    7    0.52595305E-04  0.12792382E-12
    7    7   -0.14355608E-03  0.64370037E-12
    8    7    0.41095715E-03  0.46358593E-12
    9    7    0.21381534E-03 -0.29683851E-12
    1    8   -0.21103341E-03 -0.63206428E-12
    2    8    0.61457424E-03  0.60460733E-11
    3    8   -0.19055845E-02  0.14538128E-11
    4    8    0.17294870E-03  0.29113005E-11
    5    8    0.21047355E-03 -0.31553406E-12
    6    8    0.89013320E-03  0.58872547E-12
    7    8    0.41095715E-03 -0.61862944E-12
    8    8    0.14871106E-04  0.13534868E-11
    9    8    0.36082923E-03  0.18009921E-11
    1    9    0.19646665E-03 -0.16122203E-11
    2    9   -0.19864061E-03 -0.30871148E-11
    3    9    0.73380981E-03  0.14847385E-11
    4    9    0.38580880E-03  0.30371951E-11
    5    9   -0.42276292E-03 -0.19117314E-12
    6    9    0.49186337E-03  0.95952415E-12
    7    9    0.21381534E-03 -0.13418132E-11
    8    9    0.36082923E-03 -0.96408818E-12
