 written on 22Apr2026 at 01:20:52 
           9
         229
    1    1    2    1    2    1    1    2    1    1    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    2    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    2    2    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    1    1    2    1    1    2
    1    2    1    1
   -4   -2   -1    6    1    0.001056    0.000000
   -4   -2   -1    7    1    0.000387    0.000000
   -4   -2   -1    8    1   -0.000816    0.000000
   -4   -2   -1    9    1   -0.000624   -0.000000
   -4   -2   -1    1    2    0.000478   -0.000000
   -4   -2   -1    2    2   -0.000804   -0.000000
   -4   -2   -1    3    2   -0.001614    0.000000
   -4   -2   -1    4    2    0.003365   -0.000000
   -4   -2   -1    5    2    0.000678   -0.000000
   -4   -2   -1    6    2   -0.000280   -0.000000
   -4   -2   -1    7    2    0.000398   -0.000000
   -4   -2   -1    8    2   -0.000582    0.000000
   -4   -2   -1    9    2   -0.000642   -0.000000
   -4   -2   -1    1    3   -0.000026   -0.000000
   -4   -2   -1    2    3   -0.001614    0.000000
   -4   -2   -1    3    3   -0.006512    0.000000
   -4   -2   -1    4    3    0.000812   -0.000000
   -4   -2   -1    5    3    0.000074   -0.000000
   -4   -2   -1    6    3    0.001330    0.000000
   -4   -2   -1    7    3    0.000035   -0.000000
   -4   -2   -1    8    3    0.000039    0.000000
   -4   -2   -1    9    3    0.002327    0.000000
   -4   -2   -1    1    4    0.000842   -0.000000
   -4   -2   -1    2    4    0.003365    0.000000
   -4   -2   -1    3    4    0.000812    0.000000
   -4   -2   -1    4    4    0.002998    0.000000
   -4   -2   -1    5    4    0.000325    0.000000
   -4   -2   -1    6    4    0.000292   -0.000000
   -4   -2   -1    7    4    0.000192   -0.000000
   -4   -2   -1    8    4   -0.001467   -0.000000
   -4   -2   -1    9    4    0.000310    0.000000
   -4   -2   -1    1    5    0.000202   -0.000000
   -4   -2   -1    2    5   -0.000678   -0.000000
   -4   -2   -1    3    5   -0.000074    0.000000
   -4   -2   -1    4    5   -0.000325    0.000000
   -4   -2   -1    5    5    0.000043    0.000000
   -4   -2   -1    6    5    0.000177   -0.000000
   -4   -2   -1    7    5    0.000803   -0.000000
   -4   -2   -1    8    5    0.000723   -0.000000
   -4   -2   -1    9    5    0.000306    0.000000
   -4   -2   -1    1    6    0.001056    0.000000
   -4   -2   -1    2    6    0.000280   -0.000000
   -4   -2   -1    3    6   -0.001330    0.000000
   -4   -2   -1    4    6   -0.000292   -0.000000
   -4   -2   -1    5    6    0.000177   -0.000000
   -4   -2   -1    6    6   -0.000432   -0.000000
   -4   -2   -1    7    6    0.000346   -0.000000
   -4   -2   -1    8    6   -0.000153   -0.000000
   -4   -2   -1    9    6    0.000823   -0.000000
   -4   -2   -1    1    7    0.000387   -0.000000
   -4   -2   -1    2    7   -0.000398   -0.000000
   -4   -2   -1    3    7   -0.000035    0.000000
   -4   -2   -1    4    7   -0.000192    0.000000
   -4   -2   -1    5    7    0.000803   -0.000000
   -4   -2   -1    6    7    0.000346    0.000000
   -4   -2   -1    7    7   -0.000171   -0.000000
   -4   -2   -1    8    7   -0.000038   -0.000000
   -4   -2   -1    9    7    0.000078   -0.000000
   -4   -2   -1    1    8   -0.000816   -0.000000
   -4   -2   -1    2    8    0.000582   -0.000000
   -4   -2   -1    3    8   -0.000039    0.000000
   -4   -2   -1    4    8    0.001467   -0.000000
   -4   -2   -1    5    8    0.000723   -0.000000
   -4   -2   -1    6    8   -0.000153    0.000000
   -4   -2   -1    7    8   -0.000038    0.000000
   -4   -2   -1    8    8   -0.000216    0.000000
   -4   -2   -1    9    8    0.000327   -0.000000
   -4   -2   -1    1    9   -0.000624    0.000000
   -4   -2   -1    2    9    0.000642    0.000000
   -4   -2   -1    3    9   -0.002327   -0.000000
   -4   -2   -1    4    9   -0.000310    0.000000
   -4   -2   -1    5    9    0.000306    0.000000
   -4   -2   -1    6    9    0.000823    0.000000
   -4   -2   -1    7    9    0.000078   -0.000000
   -4   -2   -1    8    9    0.000327    0.000000
   -4   -2   -1    9    9    0.000519    0.000000
   -4   -1   -3    1    1    0.000189    0.000000
   -4   -1   -3    2    1   -0.000028   -0.000000
   -4   -1   -3    3    1   -0.000397   -0.000000
   -4   -1   -3    4    1   -0.000488   -0.000000
   -4   -1   -3    5    1   -0.000132    0.000000
   -4   -1   -3    6    1   -0.000579   -0.000000
   -4   -1   -3    7    1    0.000419   -0.000000
   -4   -1   -3    8    1   -0.000087   -0.000000
   -4   -1   -3    9    1    0.000236    0.000000
   -4   -1   -3    1    2    0.000028    0.000000
   -4   -1   -3    2    2   -0.008924    0.000000
   -4   -1   -3    3    2   -0.000925    0.000000
   -4   -1   -3    4    2    0.000650    0.000000
   -4   -1   -3    5    2   -0.000013   -0.000000
   -4   -1   -3    6    2    0.001386    0.000000
   -4   -1   -3    7    2    0.001950    0.000000
   -4   -1   -3    8    2    0.000584    0.000000
   -4   -1   -3    9    2    0.000205   -0.000000
   -4   -1   -3    1    3    0.000397   -0.000000
   -4   -1   -3    2    3   -0.000925   -0.000000
   -4   -1   -3    3    3   -0.005754   -0.000000
   -4   -1   -3    4    3    0.004571   -0.000000
   -4   -1   -3    5    3   -0.001043    0.000000
   -4   -1   -3    6    3    0.000714   -0.000000
   -4   -1   -3    7    3    0.000133    0.000000
   -4   -1   -3    8    3    0.001208   -0.000000
   -4   -1   -3    9    3    0.002355   -0.000000
   -4   -1   -3    1    4    0.000488   -0.000000
   -4   -1   -3    2    4    0.000650   -0.000000
   -4   -1   -3    3    4    0.004571    0.000000
   -4   -1   -3    4    4   -0.002390   -0.000000
   -4   -1   -3    5    4   -0.001480    0.000000
   -4   -1   -3    6    4    0.000386    0.000000
   -4   -1   -3    7    4   -0.000704   -0.000000
   -4   -1   -3    8    4   -0.002116    0.000000
   -4   -1   -3    9    4    0.002009   -0.000000
   -4   -1   -3    1    5   -0.000132    0.000000
   -4   -1   -3    2    5    0.000013   -0.000000
   -4   -1   -3    3    5    0.001043    0.000000
   -4   -1   -3    4    5    0.001480    0.000000
   -4   -1   -3    5    5   -0.000079   -0.000000
   -4   -1   -3    6    5    0.000141    0.000000
   -4   -1   -3    7    5   -0.000102    0.000000
   -4   -1   -3    8    5    0.000092   -0.000000
   -4   -1   -3    9    5   -0.000258   -0.000000
   -4   -1   -3    1    6   -0.000579   -0.000000
   -4   -1   -3    2    6   -0.001386   -0.000000
   -4   -1   -3    3    6   -0.000714    0.000000
   -4   -1   -3    4    6   -0.000386    0.000000
   -4   -1   -3    5    6    0.000141   -0.000000
   -4   -1   -3    6    6   -0.000894    0.000000
   -4   -1   -3    7    6    0.000075    0.000000
   -4   -1   -3    8    6    0.000584    0.000000
   -4   -1   -3    9    6   -0.000058   -0.000000
   -4   -1   -3    1    7    0.000419   -0.000000
   -4   -1   -3    2    7   -0.001950    0.000000
   -4   -1   -3    3    7   -0.000133    0.000000
   -4   -1   -3    4    7    0.000704    0.000000
   -4   -1   -3    5    7   -0.000102    0.000000
   -4   -1   -3    6    7    0.000075    0.000000
   -4   -1   -3    7    7   -0.000840    0.000000
   -4   -1   -3    8    7    0.000650    0.000000
   -4   -1   -3    9    7    0.000413    0.000000
   -4   -1   -3    1    8   -0.000087   -0.000000
   -4   -1   -3    2    8   -0.000584    0.000000
   -4   -1   -3    3    8   -0.001208   -0.000000
   -4   -1   -3    4    8    0.002116    0.000000
   -4   -1   -3    5    8    0.000092   -0.000000
   -4   -1   -3    6    8    0.000584    0.000000
   -4   -1   -3    7    8    0.000650   -0.000000
   -4   -1   -3    8    8   -0.000663   -0.000000
   -4   -1   -3    9    8   -0.000315   -0.000000
